45,23,15,17
17,48,20,24
41,39,12,28
11,16,32,45
46,38,8,0
21,33,23,26
47,46,20,28
4,21,46,23
30,20,22,6
27,37,41,46
42,47,13,43
15,27,31,42
34,40,27,4
43,36,31,4
38,28,32,41
29,18,43,19
15,32,12,30
20,23,40,48
19,6,3,25
30,28,15,22
21,7,5,46
37,12,48,28
23,18,19,16
30,23,35,37
39,33,48,22
28,34,13,40
14,20,32,13
46,43,39,36
18,36,46,47
45,35,6,43
40,29,3,42
21,47,24,14
24,40,21,45
8,26,37,39
12,44,45,37
4,17,43,2
16,13,36,15
30,1,23,10
7,8,18,28
31,0,33,32
1,21,4,30
30,29,21,1
11,13,12,35
0,18,7,2
16,6,43,32
15,25,2,32
29,11,36,25
26,9,6,21
39,18,23,4
35,28,21,20
16,34,48,5
11,13,31,34
39,26,29,46
0,11,12,48
42,33,9,35
44,3,45,7
48,35,44,37
21,47,45,16
45,2,43,44
41,11,21,36
26,20,22,32
30,4,7,6
13,28,1,3
12,25,3,14
4,29,1,19
3,19,17,28
43,13,20,23
23,37,11,43
30,33,20,0
47,37,30,5
41,46,1,8
12,43,0,47
15,11,16,24
1,26,42,45
18,23,19,34
12,39,16,42
34,7,43,36
27,45,31,44
12,31,4,0
9,12,24,33
33,44,22,7
30,14,15,18
41,6,22,28
46,20,25,9
18,37,17,23
2,14,41,28
9,36,34,45
33,15,39,29
48,47,43,18
40,10,6,18
5,35,25,13
1,23,26,21
12,40,11,21
43,41,45,15
39,1,26,25
10,33,22,40
25,2,3,10
31,36,1,40
41,15,48,21
10,42,38,44
7,43,28,26,24
7,38,26,28,25
44,23,12,30,49
36,35,32,0,14
46,42,32,49,4
9,38,17,19,42
27,44,9,41,18
24,30,43,18,25
43,35,49,38,44
17,3,22,25,6
9,13,19,47,11
45,2,21,14,25
23,39,21,38,36
6,25,34,22,49
37,32,3,1,0
18,20,49,8,16
29,24,0,45,21
15,29,1,34,49
46,16,17,12,27
22,25,20,18,17
16,13,45,7,34
17,43,22,33,44
14,1,15,31,23
31,47,37,17,20
22,7,16,9,45
19,1,16,37,45
5,33,1,36,46
47,43,12,27,20
36,30,4,18,0
36,48,45,49,24
32,1,19,9,15
4,45,15,49,14
29,20,30,19,47
38,18,4,25,37
41,19,4,8,2
8,40,3,23,17
41,23,12,44,2
23,49,25,48,46
36,2,27,12,6
25,13,18,23,37
18,7,39,9,44
38,16,17,40,19
49,37,1,28,3
46,33,3,19,9
15,2,8,39,28
11,22,27,46,39
29,45,41,4,35
8,24,17,10,30
22,47,16,45,43
19,10,3,32,40
19,23,46,9,45
17,12,2,22,13
42,32,4,27,47
15,24,25,27,36
31,24,34,36,25
42,32,47,21,8
9,15,30,4,28
32,29,15,18,28
9,36,16,19,11
4,48,39,6,36
40,16,36,30,37
41,32,26,36,18
23,0,38,1,31
7,35,31,5,14
40,15,26,34,29
15,10,2,38,26
1,9,23,13,32
31,27,44,33,37
17,20,32,1,12
17,24,37,44,36
36,35,8,3,9
47,30,37,44,20
39,24,3,46,13
40,1,17,11,16
0,19,3,4,46
22,13,7,15,49
38,21,36,0,40
41,34,38,48,32
9,39,33,29,1
12,36,41,19,49
37,6,21,23,49
21,31,35,20,36
14,13,38,20,29
29,13,47,32,41
37,18,43,32,12
44,15,31,34,41
16,12,26,11,48
46,25,49,8,21
4,7,12,31,38
0,3,30,37,11
26,25,6,18,47
4,43,31,6,3
33,26,34,19,39
33,0,34,39,38
34,12,20,41,30
11,21,42,0,20
37,12,14,43,27
25,41,42,3,11
35,48,23,46,43
26,34,29,5,16
