5,40,13,10,17
3,32,49,7,30
16,13,35,17,5
15,3,8,47,49
47,8,19,2,17
12,13,33,27,43
18,7,36,9,34
33,28,34,2,27
24,10,9,17,8
31,6,9,24,46
34,25,48,3,46
34,6,49,9,32
24,30,47,10,41
32,45,30,34,6
27,10,30,15,12
3,21,44,11,19
36,2,38,27,11
10,2,11,13,40
1,38,6,42,45
0,6,40,34,22
24,7,1,17,47
17,12,10,45,21
26,8,2,41,24
45,4,46,47,12
48,14,23,43,4
21,19,11,8,17
36,6,31,35,43
15,25,46,6,12
39,10,46,45,29
14,36,48,37,35
37,23,47,28,17
31,13,15,6,35
28,2,10,15,49
27,21,35,22,30
3,1,32,11,5
17,6,13,36,46
33,7,49,39,21
19,20,29,32,44
24,30,25,46,34
0,4,1,7,25
0,18,13,43,11
25,46,38,16,32
29,18,34,32,6
41,35,43,30,44
12,3,31,29,4
17,49,43,20,38
29,0,36,41,22
35,46,8,0,31
14,11,24,0,37
14,1,45,36,15
21,35,10,49,31
19,27,15,13,35
2,43,7,17,16
20,46,12,31,11
21,26,16,38,3
44,35,25,24,15
11,45,20,40,2
30,47,15,25,29
27,28,14,42,18
34,9,12,11,10
22,16,14,15,17
7,14,11,43,23
1,34,47,36,38
6,12,1,16,37
15,20,36,43,33
42,11,48,25,10
34,10,46,19,16
26,41,16,33,39
22,12,11,21,24
16,49,40,36,4
32,18,37,31,38
42,29,22,35,43
42,1,7,46,44
13,35,36,7,31
17,1,0,33,21
49,8,1,23,47
48,5,38,4,12
30,47,27,36,12
7,30,34,19,44
28,3,36,26,19
41,39,23,37,2
1,5,32,29,25
47,39,0,15,33
33,46,2,27,23
12,30,9,7,1
15,6,47,16,17
29,32,0,5,47
2,18,31,42,45
39,38,12,37,30
5,10,9,12,44
38,37,45,11,13
2,14,33,31,29
8,4,32,0,31
23,13,39,34,48
43,5,44,35,36
49,9,19,34,48
13,17,29,18,34
16,48,35,38,27
10,6,25,11,30
39,8,26,0,2
0,2,49,7,24
19,38,21,45,13
31,6,15,21,2
15,36,43,49,5
24,27,37,34,49
8,19,8,45,33
20,31,45,48,16
35,11,38,20,30
14,9,45,0,44
22,16,39,0,9
19,26,49,39,24
45,5,26,0,0
19,22,0,27,16
17,11,37,1,26
31,28,45,24,0
0,6,17,47,13
29,25,36,33,49
14,47,45,16,16
23,8,41,16,24
4,41,17,33,31
11,8,39,18,10
13,6,29,3,18
42,5,17,0,2
38,8,46,0,5
5,43,1,13,49
5,15,44,31,28
13,8,0,41,7
2,21,49,15,43
26,7,31,19,38
29,31,38,0,15
5,15,28,33,41
18,13,31,8,16
28,40,49,8,5
16,12,29,27,10
18,49,28,21,46
45,1,8,16,7
16,11,26,25,4
7,38,48,28,24
22,7,27,2,23
27,0,49,0,25
33,16,45,28,17
11,13,30,29,19
2,21,47,38,44
37,22,35,11,5
15,1,7,48,49
8,1,10,28,15
22,7,48,3,15
24,9,49,7,2
36,28,49,15,24
3,9,27,41,5
24,1,15,33,16
10,16,46,13,49
49,11,20,31,48
28,11,15,19,38
49,7,24,7,33
36,35,49,20,4
27,0,40,44,8
13,23,15,15,4
39,10,49,46,38
0,9,0,11,4
9,24,24,0,7
3,7,29,25,16
14,11,19,0,6
42,17,49,8,31
24,11,9,7,49
0,24,43,26,35
5,44,20,10,47
35,9,37,0,24
49,10,39,22,23
16,7,38,2,32
16,15,40,28,30
22,17,24,21,20
22,2,41,16,28
21,38,48,3,28
29,7,49,3,44
16,7,21,11,5
47,4,24,15,38
47,21,49,19,18
18,39,44,1,6
7,45,49,7,22
28,11,48,15,33
6,11,20,16,13
49,37,45,1,44
29,30,15,15,19
9,5,26,7,45
11,46,28,48,4
45,39,49,48,2
2,1,19,39,20
26,19,15,21,31
0,0,21,11,16
2,11,48,38,41
8,41,49,23,19
0,28,33,30,31
29,3,19,8,4
30,16,43,10,49
2,26,39,1,25
45,35,49,48,22
20,15,22,21,40
9,0,18,43,2
38,9,35,30,13
