37,17,38,4
3,23,43,41
12,43,30,40
47,37,13,34
12,9,7,46
16,2,37,26
15,47,31,26
16,9,1,4
42,15,8,25
0,22,16,24
22,21,15,4
13,35,47,12
12,39,7,41
29,17,35,46
1,39,7,30
1,37,44,7
31,24,29,21
33,36,6,47
21,41,24,26
14,34,46,26
29,40,34,17
26,27,22,43
19,8,1,34
3,30,45,11
35,34,4,9
18,10,41,3
38,0,7,13
7,8,33,22
40,15,8,1
21,26,3,25
42,0,12,11
2,45,11,14
25,17,7,37
22,43,0,34
11,28,0,44
7,19,11,3
32,19,22,38
45,7,18,37
4,25,37,41
37,0,7,46
34,30,43,18
36,28,31,43
1,31,32,18
33,17,40,38
17,9,11,36
31,38,42,16
27,45,47,34
35,25,41,22
15,23,8,2
6,4,22,33
27,4,36,31
1,36,47,33
26,5,42,12
1,13,4,45
12,4,1,24
39,31,34,24
11,39,30,17
44,41,1,26
19,39,7,32
4,1,36,29
17,12,18,45
42,25,24,9
45,35,40,22
2,23,33,20
38,14,34,6
36,7,41,14
36,18,7,22
44,6,48,29
35,43,26,17
4,30,7,9
25,23,2,26
14,32,36,35
46,13,40,4
7,8,22,44
19,15,13,8
43,44,46,6
13,2,4,24
11,5,35,21
41,4,18,15
27,12,11,24
29,16,18,10
23,37,8,0
9,23,13,3
8,4,39,16
31,2,40,36
17,13,23,2
45,21,20,25
0,43,16,8
14,33,16,6
24,36,9,32
15,2,8,43
17,37,28,6
7,15,36,12
33,45,46,10
24,6,1,3
5,14,35,24
37,43,1,29
2,29,24,18
22,17,16,7
35,15,22,38
38,40,27,33,23
11,49,27,40,25
27,2,8,5,6
44,8,33,19,14
4,45,38,20,19
33,29,12,42,34
9,18,20,31,17
24,35,40,5,21
1,5,42,10,37
33,34,23,5,1
14,31,29,10,4
9,37,36,44,27
37,33,10,32,17
10,18,19,38,12
46,36,21,28,1
27,31,43,41,47
42,16,48,28,13
45,31,9,41,32
44,25,4,35,30
31,2,46,18,16
42,20,38,23,10
22,15,38,13,32
41,29,37,9,30
5,2,8,35,27
29,19,16,2,11
33,26,28,32,44
43,29,26,44,27
26,11,27,8,6
48,24,26,37,7
36,4,40,14,35
6,8,26,1,43
35,47,9,21,2
29,37,0,12,48
48,4,25,12,33
33,26,23,48,39
24,41,1,23,16
14,2,7,18,11
49,4,19,23,37
40,6,36,34,12
37,19,47,44,33
23,28,31,36,39
7,26,30,2,1
21,45,38,18,23
21,22,49,36,28
18,13,29,26,5
16,2,42,18,12
24,41,20,7,8
49,1,40,37,47
40,11,5,21,19
14,39,33,1,17
28,23,10,0,26
37,20,27,34,29
37,18,45,5,3
14,44,20,17,21
30,14,24,19,43
35,43,22,34,30
31,19,29,13,33
7,20,37,32,39
13,14,9,34,25
40,41,42,24,17
36,21,18,6,28
1,37,29,2,24
2,34,40,38,44
12,40,47,5,17
13,27,30,37,34
37,47,38,26,49
18,14,25,48,44
0,39,31,10,2
6,10,25,44,35
49,23,1,28,44
6,46,10,11,38
3,6,46,30,35
5,38,2,0,45
29,32,47,34,10
1,48,8,6,27
24,30,22,13,10
39,49,18,40,5
10,8,6,23,31
0,31,29,2,44
24,30,37,3,14
18,44,11,0,43
39,21,23,4,45
0,20,25,43,30
10,24,45,3,0
1,46,38,20,16
12,36,46,38,35
7,40,32,34,26
15,10,35,30,22
28,14,21,13,4
6,1,13,21,22
9,47,1,23,16
37,25,34,18,14
16,48,47,3,27
18,17,23,22,29
49,21,14,20,22
8,42,27,38,25
15,32,17,26,23
6,36,20,18,43
45,8,4,18,14
37,16,33,39,35
